timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
1770786123254,0,0,0,0,0,0,1
1770786123898,0.2553915,0.8736066,0.2509243,-0.1309908,-0.3784218,-0.09730853,0.9111363
1770786124083,0.1811161,0.9750692,0.2040857,0.1061531,-0.3663901,-0.03188207,0.9238362
1770786124293,0.1240786,1.065569,0.168063,0.2369765,-0.3280237,0.05964139,0.9125161
1770786124430,0.02162538,1.160157,0.02536241,0.3550252,-0.0259729,-0.01850612,0.9343126
1770786124533,0.01315593,1.16808,0.004921358,0.3455002,-0.005962878,-0.01599631,0.9382634
1770786124635,0.008791771,1.175822,-0.01432704,0.3295994,0.01819392,-0.011188,0.9438793
1770786124749,0.004779615,1.182126,-0.03871693,0.3183462,0.034164,-0.009986468,0.9473062
1770786124860,0.001907205,1.18376,-0.04451118,0.2336489,-0.0004115403,-0.00585686,0.9723033
1770786124971,-0.0015551,1.183957,-0.05226425,0.1692908,-0.0246994,-0.00219899,0.9852542
1770786125082,-0.001707925,1.177241,-0.05617863,0.08799597,-0.02574164,0.003047597,0.9957835
1770786125193,-0.001279797,1.174295,-0.04888073,0.01716113,-0.01875584,0.004270424,0.9996677
1770786125304,-0.00272521,1.176931,-0.04569793,0.01055919,-0.01851302,0.0009358731,0.9997724
1770786125409,-0.00490351,1.182418,-0.04114195,-0.01753856,-0.02194463,0.008854205,0.9995661
1770786125521,-0.008119382,1.187789,-0.04232495,-0.02568244,-0.03594868,-0.0004978809,0.9990235
1770786125632,-0.00646361,1.191398,-0.04476761,-0.01561321,-0.02163367,0.002310361,0.9996414
1770786125749,-0.006909607,1.19435,-0.04846528,-0.006597119,-0.01622966,-0.004025676,0.9998385
1770786125871,-0.008161569,1.193127,-0.05071664,0.0049941,-0.02227671,0.0006117112,0.9997392
1770786125980,-0.00477213,1.181225,-0.05541578,0.0688915,-0.02702378,0.002842619,0.997254
1770786126092,-0.00140059,1.171363,-0.05325253,0.1155985,-0.02609079,0.001023587,0.9929528
1770786126201,0.0009797476,1.168976,-0.04831872,0.1265928,-0.02569875,0.002893494,0.9916176
1770786126313,0.002012014,1.174943,-0.04193775,0.1029228,-0.03058176,0.0003061388,0.9942191
1770786126415,-0.0001292881,1.181239,-0.03717551,0.07907617,-0.04763326,-0.008508173,0.9956936
1770786126524,-0.00323055,1.188542,-0.03237863,0.05092616,-0.07054898,-0.01852712,0.9960352
1770786126637,-0.003353766,1.192989,-0.02738114,0.03467684,-0.07457858,-0.01872966,0.9964361
1770786126747,-0.002644897,1.19397,-0.02300488,0.0313599,-0.07221685,-0.01773744,0.9967381
1770786126860,-0.003332577,1.194131,-0.01926281,0.03103979,-0.07704061,-0.01771743,0.9963872
1770786126970,-0.005597892,1.196658,-0.01605709,0.01810692,-0.08726828,-0.02394002,0.9957325
1770786127081,-0.006454144,1.2024,-0.01422183,-0.01106877,-0.08687612,-0.03259066,0.9956244
1770786127193,-0.007168786,1.206171,-0.01268891,-0.02950984,-0.08320356,-0.03138649,0.9956009
1770786127303,-0.00745316,1.209002,-0.008820958,-0.04386702,-0.08958108,-0.02752018,0.9946324
