//     opt               x               y           theta             acc             dec              vi              vm              ve
0x00010388    -1777430.000    -1793829.000           0.000    19925578.208    19925578.208           0.000     7093505.842           0.000
0x00000040          50.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
0x0000010C    -1781800.000    -1796258.000  -119059315.000     4722386.176     5000000.000           0.000      259731.240      259731.240
0x00000108    -2014981.000    -1801258.000           0.000     4871503.724     4858089.396      259731.240      791250.898      261719.154
0x0000010C    -2014981.000    -1796258.000   -80975176.000     1640872.441     5000000.000      261719.154      225619.961      225619.961
0x0000010C    -1964612.000    -1788258.000    -9024729.000      509942.554     5000000.000      225619.961      259169.442      259169.442
0x00000108    -2020612.000     -751758.000           0.000     4924519.822     4956610.202      259169.442      798638.100       30000.000
0x00000108    -1420612.000     -751758.000           0.000     4949902.576     4949902.576       30000.000      797234.899       30000.000
0x00000108    -1420612.000    -1788258.000           0.000     4956609.920     4924519.406       30000.000      798822.330      267140.000
0x0000010C    -1476612.000    -1788258.000    -9024844.000     1112975.008     3123336.767      267140.000      270478.925      248615.568
0x0000010C    -1426243.000    -1796258.000   -80975176.000     1640756.097     5000000.000      248615.568      225603.963      225603.963
0x00000108    -1659424.000    -1801258.000           0.000     4828453.463     4829583.037      225603.963      789464.586      266407.057
0x0000010C    -1659424.000    -1796258.000  -119059200.000           0.000     5000000.000      266407.057      266407.057      266407.057
0x0000010C    -1720612.000    -1762258.000   238118522.000     4051100.432     4958095.768      266407.057      282611.459           0.000
0x00000328    -1777430.000    -1793829.000           0.000       80000.000       80000.000           0.000           0.000           0.000
