//     opt           x           y       theta         acc         dec          vi          vm          ve
0x00010388    -1372628    -1592199           0    16000000    16000000       50000     2690410       50000
0x0000010C    -1582919    -1593280    -7271232     5000000     5000000       50000      478601      463159
0x0000010C    -1495604    -1605506   -16566558     5000000     5000000      463159      463159      431927
0x0000010C    -1444255    -1627982   -34481808     5000000     5000000      431927      431927      431927
0x0000010C    -1448174    -1617945   -22908354     5000000     5000000      431927      441311      441311
0x0000010C    -1454127    -1585032    -6072695     5000000     5000000      441311      459133      459133
0x0000010C    -1671328     1756503    -3701308     5000000     5000000      459133      498698      498698
0x0000010C    -1671328     1756503    -3701308     5000000     5000000      498698      498698      459133
0x0000010C    -1888528    -1585032    -6072695     5000000     5000000      459133      459133      441309
0x0000010C    -1894481    -1617945   -22908354     5000000     5000000      441309      441309      431924
0x0000010C    -1898400    -1627982   -34481808     5000000     5000000      431924      431924      431924
0x0000010C    -1847051    -1605506   -16566558     5000000     5000000      431924      463158      463158
0x0000010C    -1759737    -1593280    -7271117     5000000     5000000      463158      478600      478600
0x00000108    -1970028     -682807           0     5000000     5000000      478600      500000      476316
0x0000010C    -1780044     -679887   -14314145     5000000     5000000      476316      476316      453530
0x0000010C    -1870865     -659074   -14472665     5000000     5000000      453530      453530       50000
0x00000108    -1386617     -612996           0     5000000     5000000       50000      500000       50000
0x0000010C    -1471791     -659074   -14472665     5000000     5000000       50000      453531      453531
0x0000010C    -1562612     -679887   -14314260     5000000     5000000      453531      476316      476316
0x00000108    -1372628    -1592199           0     5000000     5000000      476316      500000      100000
0x00000328    -1372628    -1592199           0     5000000     5000000      100000      100000      100000
